 ParentGuardianEducation  CareerStage_NRMNCC_4  Count
                     1.0                   4.0   1116
                     2.0                   4.0    881
                     1.0                   1.0    648
                     2.0                   1.0    300
                     1.0                   6.0    286
                     1.0                   8.0    102
                     2.0                   8.0     42
                     2.0                   6.0     23
                     1.0                   7.0      9
                     2.0                   7.0      5
