 ParentGuardianEducation  CareerStage_NRMNCC_4 Major_Categories  Count
                     1.0                   1.0        Non-STEMM    548
                     1.0                   1.0            STEMM     50
                     1.0                   4.0        Non-STEMM   1030
                     1.0                   4.0            STEMM     35
                     1.0                   6.0        Non-STEMM    286
                     1.0                   7.0        Non-STEMM      9
                     1.0                   7.0            STEMM      2
                     1.0                   8.0        Non-STEMM     91
                     1.0                   8.0            STEMM     14
                     2.0                   1.0        Non-STEMM    240
                     2.0                   1.0            STEMM     29
                     2.0                   4.0        Non-STEMM    862
                     2.0                   4.0            STEMM     29
                     2.0                   6.0        Non-STEMM     23
                     2.0                   7.0        Non-STEMM      4
                     2.0                   7.0            STEMM      1
                     2.0                   8.0        Non-STEMM     38
                     2.0                   8.0            STEMM      4
