Race_Categories  ParentGuardianEducation  CareerStage_NRMNCC_4  Count
          Asian                      1.0                   1.0    113
          Asian                      1.0                   4.0    245
          Asian                      1.0                   6.0    105
          Asian                      1.0                   7.0      1
          Asian                      1.0                   8.0     14
          Asian                      2.0                   1.0     47
          Asian                      2.0                   4.0    146
          Asian                      2.0                   6.0      8
          Asian                      2.0                   7.0      3
          Asian                      2.0                   8.0      7
          Black                      1.0                   1.0     53
          Black                      1.0                   4.0    174
          Black                      1.0                   6.0     43
          Black                      1.0                   7.0      1
          Black                      1.0                   8.0     34
          Black                      2.0                   1.0     34
          Black                      2.0                   4.0    142
          Black                      2.0                   6.0      7
          Black                      2.0                   7.0      1
          Black                      2.0                   8.0     13
       Hispanic                      1.0                   1.0     45
       Hispanic                      1.0                   4.0    110
       Hispanic                      1.0                   6.0     28
       Hispanic                      1.0                   8.0     25
       Hispanic                      2.0                   1.0     47
       Hispanic                      2.0                   4.0    335
       Hispanic                      2.0                   6.0     11
       Hispanic                      2.0                   7.0      1
       Hispanic                      2.0                   8.0     17
          OTHER                      1.0                   1.0     41
          OTHER                      1.0                   4.0     71
          OTHER                      1.0                   6.0     17
          OTHER                      1.0                   8.0      6
          OTHER                      2.0                   1.0     22
          OTHER                      2.0                   4.0     66
          OTHER                      2.0                   6.0      1
          OTHER                      2.0                   8.0      2
          White                      1.0                   1.0    442
          White                      1.0                   4.0    660
          White                      1.0                   6.0    133
          White                      1.0                   7.0      7
          White                      1.0                   8.0     38
          White                      2.0                   1.0    175
          White                      2.0                   4.0    304
          White                      2.0                   6.0      2
          White                      2.0                   7.0      1
          White                      2.0                   8.0      5
